X,Y,Z,DENS,E,NU
-19.1179,-63.192,-987.851,610.534,2.50733e+06,N/A
7.79023,-91.1487,-977.991,-276.499,-nan(ind),N/A
1.60848,-61.7947,-967.923,610.534,2.50733e+06,N/A
-28.1711,-79.7601,-988.714,610.534,2.50733e+06,N/A
-17.5249,-84.4861,-989.142,610.534,2.50733e+06,N/A
10.4913,-72.1725,-986.65,610.534,2.50733e+06,N/A
-15.6548,-75.8654,-973.607,-276.499,-nan(ind),N/A
19.8726,-72.3753,-975.034,120.242,455276,N/A
6.4919,-74.4903,-981.709,610.534,2.50733e+06,N/A
-6.8511,-66.546,-966.502,120.242,455276,N/A
11.6016,-64.6308,-967.809,610.534,2.50733e+06,N/A
0.546,-84.2125,-966.972,-276.499,-nan(ind),N/A
-4.1943,-61.8588,-988.16,610.534,2.50733e+06,N/A
2.97115,-69.3673,-973.028,-276.499,-nan(ind),N/A
-26.8191,-82.4797,-987.463,610.534,2.50733e+06,N/A
-22.4013,-68.629,-978.26,610.534,2.50733e+06,N/A
-7.42952,-64.2881,-989.033,610.534,2.50733e+06,N/A
-10.8473,-75.2916,-966.172,610.534,2.50733e+06,N/A
-1.22095,-72.4592,-968.513,-276.499,-nan(ind),N/A
-24.7984,-86.3864,-988.555,610.534,2.50733e+06,N/A
-20.3127,-79.0701,-987.137,610.534,2.50733e+06,N/A
14.4736,-89.5966,-969.93,-276.499,-nan(ind),N/A
20.5266,-76.4021,-991.557,610.534,2.50733e+06,N/A
-25.263,-76.3101,-963.354,610.534,2.50733e+06,N/A
11.921,-81.9661,-973.879,-276.499,-nan(ind),N/A
15.3087,-70.7502,-979.496,610.534,2.50733e+06,N/A
10.165,-73.2239,-988.942,610.534,2.50733e+06,N/A
17.2191,-79.9619,-971.349,-276.499,-nan(ind),N/A
-25.9081,-81.392,-988.235,610.534,2.50733e+06,N/A
-10.5961,-82.1543,-986.69,610.534,2.50733e+06,N/A
-10.6609,-64.2734,-987.115,610.534,2.50733e+06,N/A
-4.7124,-87.5702,-983.847,120.242,455276,N/A
18.2825,-87.075,-966.159,610.534,2.50733e+06,N/A
-13.0022,-61.374,-986.659,610.534,2.50733e+06,N/A
-21.3046,-87.511,-984.046,610.534,2.50733e+06,N/A
7.69458,-67.3712,-990.426,610.534,2.50733e+06,N/A
4.60075,-92.114,-987.652,610.534,2.50733e+06,N/A
-1.17225,-69.5758,-964.924,610.534,2.50733e+06,N/A
0.4662,-84.8454,-965.143,-276.499,-nan(ind),N/A
-5.99158,-62.3808,-964.304,-276.499,-nan(ind),N/A
-10.1994,-61.1187,-967.45,120.242,455276,N/A
-17.404,-68.1245,-963.429,610.534,2.50733e+06,N/A
-16.8523,-94.423,-989.203,610.534,2.50733e+06,N/A
13.0287,-91.5151,-968.295,-276.499,-nan(ind),N/A
13.1183,-91.0346,-987.095,610.534,2.50733e+06,N/A
9.70237,-93.7273,-984.293,610.534,2.50733e+06,N/A
1.08997,-68.898,-969.72,25.368,88862.2,N/A
7.14722,-72.4161,-971.596,610.534,2.50733e+06,N/A
-20.4691,-81.3143,-981.791,-276.499,-nan(ind),N/A
-13.2748,-77.7523,-974.456,-276.499,-nan(ind),N/A
-5.6661,-78.9686,-978.107,-276.499,-nan(ind),N/A
-1.17382,-82.4749,-972.235,-276.499,-nan(ind),N/A
-18.0705,-65.6085,-962.891,610.534,2.50733e+06,N/A
-6.96258,-69.7023,-975.919,-276.499,-nan(ind),N/A
-24.9719,-69.4415,-983.42,-276.499,-nan(ind),N/A
-6.642,-88.3028,-972.621,-276.499,-nan(ind),N/A
-0.947275,-91.7211,-977.716,-276.499,-nan(ind),N/A
